Image Folder,Image Name,Anomaly Score,Predicted Label
broken_small,003.png,1.0000,True
broken_small,002.png,1.0000,True
broken_small,015.png,1.0000,True
broken_small,019.png,1.0000,True
broken_small,004.png,1.0000,True
broken_small,007.png,1.0000,True
broken_small,018.png,1.0000,True
broken_small,006.png,1.0000,True
broken_small,020.png,1.0000,True
broken_small,016.png,1.0000,True
broken_small,014.png,1.0000,True
broken_small,008.png,1.0000,True
broken_small,005.png,1.0000,True
broken_small,017.png,1.0000,True
broken_small,001.png,1.0000,True
broken_small,011.png,1.0000,True
broken_small,000.png,1.0000,True
broken_small,021.png,1.0000,True
broken_small,010.png,1.0000,True
broken_small,012.png,1.0000,True
broken_small,013.png,1.0000,True
broken_small,009.png,1.0000,True
contamination,003.png,1.0000,True
contamination,002.png,1.0000,True
contamination,015.png,1.0000,True
contamination,019.png,1.0000,True
contamination,004.png,1.0000,True
contamination,007.png,1.0000,True
contamination,018.png,1.0000,True
contamination,006.png,1.0000,True
contamination,020.png,1.0000,True
contamination,016.png,1.0000,True
contamination,014.png,1.0000,True
contamination,008.png,1.0000,True
contamination,005.png,1.0000,True
contamination,017.png,1.0000,True
contamination,001.png,1.0000,True
contamination,011.png,1.0000,True
contamination,000.png,1.0000,True
contamination,010.png,1.0000,True
contamination,012.png,1.0000,True
contamination,013.png,1.0000,True
contamination,009.png,1.0000,True
good,003.png,1.0000,True
good,002.png,1.0000,True
good,015.png,1.0000,True
good,019.png,1.0000,True
good,004.png,1.0000,True
good,007.png,0.8681,True
good,018.png,1.0000,True
good,006.png,1.0000,True
good,016.png,1.0000,True
good,014.png,0.9813,True
good,008.png,1.0000,True
good,005.png,1.0000,True
good,017.png,0.7946,True
good,001.png,1.0000,True
good,011.png,0.6371,True
good,000.png,0.9267,True
good,010.png,1.0000,True
good,012.png,0.9078,True
good,013.png,0.8768,True
good,009.png,1.0000,True
broken_large,003.png,1.0000,True
broken_large,002.png,1.0000,True
broken_large,015.png,1.0000,True
broken_large,019.png,1.0000,True
broken_large,004.png,1.0000,True
broken_large,007.png,1.0000,True
broken_large,018.png,1.0000,True
broken_large,006.png,1.0000,True
broken_large,016.png,1.0000,True
broken_large,014.png,1.0000,True
broken_large,008.png,1.0000,True
broken_large,005.png,1.0000,True
broken_large,017.png,1.0000,True
broken_large,001.png,1.0000,True
broken_large,011.png,1.0000,True
broken_large,000.png,1.0000,True
broken_large,010.png,1.0000,True
broken_large,012.png,1.0000,True
broken_large,013.png,1.0000,True
broken_large,009.png,1.0000,True
