Image Name,ONNX,FP16,FP32,INT8,PADIM,Diff_FP16,Diff_FP32,Diff_INT8,Diff_PADIM
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
003.png,0.9396,1.0,1.0,0.9492,0.769,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.17059999999999997
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
003.png,0.9396,1.0,1.0,0.9492,0.769,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.17059999999999997
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
003.png,0.9396,1.0,1.0,0.9492,0.769,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.17059999999999997
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
003.png,0.9396,1.0,1.0,0.9492,0.769,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.17059999999999997
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
003.png,0.9396,1.0,1.0,0.9492,0.769,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.17059999999999997
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
003.png,0.9396,1.0,1.0,0.9492,0.769,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.17059999999999997
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
003.png,0.9396,1.0,1.0,0.9492,0.769,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.17059999999999997
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
003.png,0.9396,1.0,1.0,0.9492,0.769,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.17059999999999997
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
003.png,0.9396,1.0,1.0,0.9492,0.769,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.17059999999999997
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
003.png,0.9396,1.0,1.0,0.9492,0.769,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.17059999999999997
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,1.0,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.06040000000000001
003.png,0.9396,1.0,1.0,0.9492,0.9869,0.06040000000000001,0.06040000000000001,0.009600000000000053,0.04730000000000001
